"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"185","Alex Bachman","WR","LV","-","-","-","0","0","4.6","0","0","-","BYE","-","-","-","-","-","-","-","-","0.9","4.6"
"186","Allen Robinson II","WR","FA","-","-","0","-","-","0","-","0","0.7","0","1.2","0","0","0","0","0","2.6","-","0.4","4.5"
"187","David Bell","WR","CLE","-","4.2","-","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","-","4.2","4.2"
"188","Malachi Corley","WR","NYJ","0","0.9","-","-","-","-","-","0","-0.2","0.7","1.5","BYE","0.8","-","-","-","-","-","0.5","3.7"
"188","Jamari Thrash","WR","CLE","-","-","-","-","-","-","0","-","0","BYE","1.6","0","2.1","-","0","0","0","0","0.4","3.7"
"190","Ronnie Bell","WR","DET","0","0","1.7","-","0","-","1.5","0","-","0","-","0","-","-","-","-","-","-","0.4","3.2"
"191","Trenton Irwin","WR","FA","1.1","1","-","-","-","0","-","0.9","0","0","0","-","-","-","-","-","-","-","0.4","3"
"191","Austin Trammell","WR","JAC","-","-","-","-","-","-","-","-","3","-","-","BYE","-","-","-","-","-","-","3","3"
"193","Anthony Gould","WR","IND","0","0","0","-","-","-","-","-","-","-","-","-","0","BYE","2.8","0","0","0","0.4","2.8"
"194","Mason Kinsey","WR","TEN","-","-","-","-","BYE","-","-","0","-","-","-","-","-","0","1.6","1.1","0","0","0.5","2.7"
"195","Chris Blair","WR","ATL","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","2.2","0","0","0.7","2.2"
"195","Isaiah Hodgins","WR","SF","-","-","-","-","0","1","-","-","BYE","1.2","-","-","-","-","-","-","-","-","0.7","2.2"
"197","Anthony Miller","WR","BAL","-","-","-","-","-","-","-","-","-","-","-","-","-","BYE","-","0","2.1","-","1.1","2.1"
"197","Grant DuBose","WR","FA","0","1.8","-","-","-","-","-","-","-","-","-","-","-","-","0.3","-","-","-","0.7","2.1"
"199","Casey Washington","WR","ATL","-","-","-","-","-","-","1.9","-","-","-","0","BYE","-","-","-","-","-","-","1","1.9"
"200","Javon Baker","WR","NE","-","0","-","-","-","-","-","0","0","0","0","0","0","BYE","-","0","0","1.7","0.2","1.7"
"201","Isaiah Williams","WR","CIN","-","-","-","-","-","-","-","1.6","0","-","-","BYE","0","0","0","0","0","0","0.2","1.6"
"201","Trent Taylor","WR","SF","-","-","-","-","0","-","-","-","BYE","-","-","-","-","-","-","-","-","1.6","0.8","1.6"
"203","James Proche II","WR","TEN","-","0","0","0.8","0","-","-","-","-","-","-","-","-","2.8","-2","0","0","0","0.2","1.6"
"204","Kendric Pryor","WR","CIN","-","-","-","-","-","-","-","-","1.4","-","-","BYE","-","-","-","-","-","0","0.7","1.4"
"204","Brandon Johnson","WR","PIT","-","-","-","-","1.4","-","0","0","BYE","-","-","-","-","-","-","-","-","-","0.5","1.4"
"206","Ramel Keyton","WR","FA","-","-","-","-","-","-","-","-","1.2","-","0","0","-","0","0","0","0","0","0.2","1.2"
"207","Collin Johnson","WR","LV","-","0","0","-","-","-","-","-","-","BYE","-","0","0","1.1","0","0","0","0","0.1","1.1"
"207","Kameron Johnson","WR","TB","0","-","-","0","0","-","-","-","-","-","BYE","-","-","-","-","-","1.1","-","0.3","1.1"
"207","John Ross","WR","FA","-","-","-","1.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.1","1.1"
"207","Jaelon Darden","WR","FA","0","-","-","-","-","1.1","0","0","0","-","-","-","0","0","0","0","0","0","0.1","1.1"
"211","Robbie Chosen","WR","FA","0","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.5","1"
"211","Tyler Scott","WR","CHI","-","0","0","0","0","0","BYE","-","0","-","0","-","-","-","1","0","0","0","0.1","1"
"213","Velus Jones Jr.","WR","NO","0.4","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","0","-","0.2","0.4"
"214","Brycen Tremayne","WR","CAR","-","-","-","-","0.3","-","-","-","-","-","BYE","-","-","-","-","-","0","-","0.2","0.3"
"215","Kaden Davis","WR","CLE","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","0","0","0"
"215","Alex Erickson","WR","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0"
"215","Brandon Smith","WR","NYJ","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","0","-","-","-","0","0"
"215","Equanimeous St. Brown","WR","FA","-","-","-","-","-","0","0","0","-","-","-","-","-","-","-","-","-","-","0","0"
"215","Roman Wilson","WR","PIT","-","-","-","-","-","0","-","-","BYE","-","-","-","-","-","-","-","-","-","0","0"
"215","Joshua Cephus","WR","JAC","-","-","-","-","-","-","-","-","-","-","-","BYE","-","0","-","-","-","-","0","0"
"215","Jaylen Johnson","WR","LAC","-","-","-","-","BYE","-","-","0","-","-","-","-","-","-","-","-","-","-","0","0"
"215","Laquon Treadwell","WR","IND","-","-","-","-","-","-","-","-","-","-","-","-","0","BYE","-","-","-","-","0","0"
"215","Jared Wayne","WR","HOU","-","-","-","-","-","-","-","-","-","-","-","-","0","BYE","-","0","0","-","0","0"
"215","Maurice Alexander","WR","CHI","-","-","-","-","-","-","BYE","-","-","-","-","-","0","0","-","-","-","-","0","0"
"215","Kazmeir Allen","WR","WAS","-","-","-","-","-","-","-","-","-","-","-","0","-","BYE","-","-","-","-","0","0"
"215","Seth Williams","WR","FA","-","-","-","-","-","-","-","-","-","-","0","-","-","0","-","-","-","-","0","0"
"215","Jalen Cropper","WR","DAL","-","-","-","-","-","-","BYE","-","-","0","-","-","-","-","-","-","-","-","0","0"
"215","Marquez Callaway","WR","FA","-","-","-","-","-","-","-","-","0","0","-","-","-","-","-","-","-","-","0","0"
"215","Montrell Washington","WR","NYG","-","-","-","-","-","-","-","0","-","-","BYE","-","-","-","-","-","-","-","0","0"
"215","Chris Moore","WR","WAS","0","0","0","0","0","-","-","-","-","-","-","-","-","BYE","-","-","-","-","0","0"
"215","Dez Fitzpatrick","WR","LAC","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0"
"215","KJ Hamler","WR","BUF","-","-","-","-","0","-","-","-","-","-","-","BYE","-","-","-","-","-","-","0","0"
"215","Cody Thompson","WR","TB","-","-","-","-","0","-","-","-","-","-","BYE","-","-","-","-","-","-","-","0","0"
"215","Irvin Charles","WR","NYJ","-","0","0","0","0","0","0","0","0","0","0","BYE","0","-","-","-","-","-","0","0"
"215","Quinton Bell","WR","MIA","0","0","0","0","0","BYE","0","-","0","0","0","0","0","0","0","0","0","0","0","0"
"215","Braxton Berrios","WR","HOU","0","0","0","0","0","-","0","-","-","-","-","-","-","BYE","-","-","0","-","0","0"
"215","Bryce Ford-Wheaton","WR","NYG","-","0","0","-","0","-","0","-","-","-","BYE","-","0","0","-","-","-","-","0","0"
"215","Tom Kennedy","WR","DET","0","0","-","-","BYE","-","-","-","-","-","-","-","-","-","-","0","0","-","0","0"
"215","Skyy Moore","WR","KC","0","0","0","0","0","BYE","0","-","-","-","-","-","-","-","-","-","-","-","0","0"
"215","Brenden Rice","WR","LAC","-","-","-","-","BYE","-","0","-","-","-","-","-","-","-","-","-","-","-","0","0"
"215","Zach Pascal","WR","NYG","0","0","0","0","0","0","0","0","0","0","BYE","0","-","0","0","-","-","0","0","0"
"215","Dareke Young","WR","SEA","0","-","0","0","-","-","0","0","0","BYE","-","0","-","0","0","0","0","0","0","0"
"215","Justin Hardee Sr.","WR","FA","-","-","-","-","-","-","-","-","0","-","-","0","-","-","0","-","-","0","0","0"
"215","Jalen Virgil","WR","BUF","-","-","-","-","-","-","-","0","0","0","0","BYE","0","0","-","0","-","-","0","0"
"215","Justyn Ross","WR","KC","-","-","-","-","-","BYE","-","-","0","0","-","-","-","-","-","-","-","-","0","0"
"215","Justin Shorter","WR","LV","-","-","-","-","-","-","0","0","0","BYE","0","0","0","-","-","-","0","-","0","0"
"215","Elijah Cooks","WR","PHI","-","-","-","-","BYE","-","-","-","0","-","-","-","0","-","0","-","-","-","0","0"
"215","Xavier Weaver","WR","ARI","-","-","-","-","-","0","-","-","-","-","BYE","-","-","-","-","-","-","0","0","0"
"215","Deonte Harty","WR","FA","0","0","0","0","-","0","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"215","Jalen Guyton","WR","FA","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"215","Trishton Jackson","WR","ARI","-","0","0","-","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","0","0"
"215","Erik Ezukanma","WR","MIA","-","-","0","-","-","BYE","-","-","-","-","-","-","-","-","-","0","-","-","0","0"
"253","Jermaine Jackson","WR","FA","-","-","-","-","-","-","0","0","-0.1","0","-","-","-","-","-","-","-","-","0","-0.1"
"254","Steven Sims Jr.","WR","SEA","0","0","0","-2","-","0","-","-","0","0","-","-","-","-","-","-","0","0","-0.2","-2"
"255","Kadarius Toney","WR","FA","-","-","-","-","-","-","-","-","-","-","-0.7","-","0.3","-2","-","-","-","-","-0.8","-2.4"
"256","Jha'Quan Jackson","WR","TEN","0","0","0","0","BYE","0","0","0","0.8","0","0","-2","-2","-","-","-","-","-","-0.3","-3.2"
"257","Dee Williams","WR","NYG","-2","0","0","0","0","0","0","-2","0","-","0","0","-2","-","0","-","-","-","-0.5","-6"
""
""
