Player,Team,Tgt,Rec,Yds,TD,G
CeeDee Lamb,DAL,181.0,135.0,1749.0,12.0,17.0
Tyreek Hill,MIA,171.0,119.0,1799.0,13.0,16.0
Amon-Ra St. Brown,DET,164.0,119.0,1515.0,10.0,16.0
Evan Engram,JAX,143.0,114.0,963.0,4.0,17.0
Michael Pittman Jr.,IND,156.0,109.0,1152.0,4.0,16.0
Keenan Allen,LAC,150.0,108.0,1243.0,7.0,13.0
Stefon Diggs,BUF,160.0,107.0,1183.0,8.0,17.0
A.J. Brown,PHI,158.0,106.0,1456.0,7.0,17.0
Puka Nacua,LAR,160.0,105.0,1486.0,6.0,17.0
Davante Adams,LVR,175.0,103.0,1144.0,8.0,17.0
Adam Thielen,CAR,137.0,103.0,1014.0,4.0,17.0
Ja'Marr Chase,CIN,145.0,100.0,1216.0,7.0,16.0
D.J. Moore,CHI,136.0,96.0,1364.0,8.0,17.0
T.J. Hockenson,MIN,127.0,95.0,960.0,5.0,15.0
Garrett Wilson,NYJ,168.0,95.0,1042.0,3.0,17.0
Travis Kelce,KAN,121.0,93.0,984.0,5.0,15.0
Chris Olave,NOR,138.0,87.0,1123.0,5.0,16.0
Sam LaPorta,DET,120.0,86.0,889.0,10.0,17.0
Chris Godwin,TAM,130.0,83.0,1024.0,2.0,17.0
Trey McBride,ARI,106.0,81.0,825.0,3.0,17.0
David Njoku,CLE,123.0,81.0,882.0,6.0,16.0
DeVonta Smith,PHI,112.0,81.0,1066.0,7.0,16.0
Nico Collins,HOU,109.0,80.0,1297.0,8.0,15.0
Mike Evans,TAM,136.0,79.0,1255.0,13.0,17.0
Tyler Lockett,SEA,122.0,79.0,894.0,5.0,17.0
Terry McLaurin,WAS,132.0,79.0,1002.0,4.0,17.0
Rashee Rice,KAN,102.0,79.0,938.0,7.0,16.0
Zay Flowers,BAL,108.0,77.0,858.0,5.0,16.0
Breece Hall,NYJ,95.0,76.0,591.0,4.0,17.0
Calvin Ridley,JAX,136.0,76.0,1016.0,8.0,17.0
Brandon Aiyuk,SFO,105.0,75.0,1342.0,7.0,16.0
DeAndre Hopkins,TEN,137.0,75.0,1057.0,7.0,17.0
Alvin Kamara,NOR,86.0,75.0,466.0,1.0,13.0
Dalton Kincaid,BUF,91.0,73.0,673.0,2.0,16.0
Cole Kmet,CHI,90.0,73.0,719.0,6.0,17.0
Amari Cooper,CLE,128.0,72.0,1250.0,5.0,15.0
Jaylen Waddle,MIA,104.0,72.0,1014.0,4.0,14.0
Jake Ferguson,DAL,102.0,71.0,761.0,5.0,17.0
Jakobi Meyers,LVR,106.0,71.0,807.0,8.0,16.0
Jordan Addison,MIN,108.0,70.0,911.0,10.0,17.0
Drake London,ATL,110.0,69.0,905.0,2.0,16.0
Josh Downs,IND,98.0,68.0,771.0,2.0,17.0
Justin Jefferson,MIN,100.0,68.0,1074.0,5.0,10.0
Tyler Boyd,CIN,98.0,67.0,667.0,2.0,17.0
Christian McCaffrey,SFO,83.0,67.0,564.0,7.0,16.0
D.K. Metcalf,SEA,119.0,66.0,1114.0,8.0,16.0
George Kittle,SFO,90.0,65.0,1020.0,6.0,16.0
Jayden Reed,GNB,94.0,64.0,793.0,8.0,16.0
Rachaad White,TAM,70.0,64.0,549.0,3.0,17.0
George Pickens,PIT,106.0,63.0,1140.0,5.0,17.0
Jaxon Smith-Njigba,SEA,93.0,63.0,628.0,4.0,17.0
Curtis Samuel,WAS,91.0,62.0,613.0,4.0,16.0
Tyler Conklin,NYJ,87.0,61.0,621.0,0.0,17.0
Jaylen Warren,PIT,74.0,61.0,370.0,0.0,17.0
Wan'Dale Robinson,NYG,78.0,60.0,525.0,1.0,15.0
Deebo Samuel,SFO,89.0,60.0,892.0,7.0,15.0
Romeo Doubs,GNB,96.0,59.0,674.0,8.0,17.0
Dallas Goedert,PHI,83.0,59.0,592.0,3.0,14.0
Cooper Kupp,LAR,95.0,59.0,737.0,5.0,12.0
Elijah Moore,CLE,104.0,59.0,640.0,2.0,17.0
Dalton Schultz,HOU,88.0,59.0,635.0,5.0,15.0
Courtland Sutton,DEN,90.0,59.0,772.0,10.0,16.0
Travis Etienne,JAX,73.0,58.0,476.0,1.0,17.0
Bijan Robinson,ATL,86.0,58.0,487.0,4.0,17.0
Christian Kirk,JAX,85.0,57.0,787.0,3.0,12.0
Tony Pollard,DAL,67.0,55.0,311.0,0.0,17.0
Logan Thomas,WAS,78.0,55.0,496.0,4.0,16.0
Brandin Cooks,DAL,81.0,54.0,657.0,8.0,16.0
Jerry Jeudy,DEN,87.0,54.0,758.0,2.0,16.0
Chigoziem Okonkwo,TEN,77.0,54.0,528.0,1.0,17.0
Kyle Pitts,ATL,90.0,53.0,667.0,3.0,17.0
Jahmyr Gibbs,DET,71.0,52.0,316.0,1.0,15.0
Joe Mixon,CIN,64.0,52.0,376.0,3.0,17.0
Tyjae Spears,TEN,70.0,52.0,385.0,1.0,17.0
Darren Waller,NYG,74.0,52.0,552.0,1.0,12.0
Marquise Brown,ARI,101.0,51.0,574.0,4.0,14.0
Austin Ekeler,LAC,74.0,51.0,436.0,1.0,14.0
Ezekiel Elliott,NWE,65.0,51.0,313.0,2.0,17.0
Gerald Everett,LAC,70.0,51.0,411.0,3.0,15.0
Diontae Johnson,PIT,87.0,51.0,717.0,5.0,13.0
Samaje Perine,DEN,56.0,50.0,455.0,0.0,17.0
Darius Slayton,NYG,79.0,50.0,770.0,4.0,17.0
Jonnu Smith,ATL,70.0,50.0,582.0,3.0,17.0
Jahan Dotson,WAS,83.0,49.0,518.0,4.0,17.0
Demario Douglas,NWE,79.0,49.0,561.0,0.0,14.0
Antonio Gibson,WAS,59.0,48.0,389.0,2.0,16.0
K.J. Osborn,MIN,75.0,48.0,540.0,3.0,16.0
Tank Dell,HOU,75.0,47.0,709.0,7.0,11.0
Tyler Higbee,LAR,70.0,47.0,495.0,2.0,15.0
Cade Otton,TAM,67.0,47.0,455.0,4.0,17.0
Javonte Williams,DEN,58.0,47.0,228.0,2.0,16.0
Rashid Shaheed,NOR,75.0,46.0,719.0,5.0,15.0
Mark Andrews,BAL,61.0,45.0,544.0,6.0,10.0
Gabriel Davis,BUF,81.0,45.0,746.0,7.0,17.0
James Cook,BUF,54.0,44.0,445.0,4.0,17.0
Jerome Ford,CLE,63.0,44.0,319.0,5.0,17.0
Isiah Pacheco,KAN,49.0,44.0,244.0,2.0,14.0
Jonathan Mingo,CAR,85.0,43.0,418.0,0.0,15.0
Hunter Henry,NWE,61.0,42.0,419.0,6.0,14.0
Tee Higgins,CIN,76.0,42.0,656.0,5.0,12.0
Saquon Barkley,NYG,60.0,41.0,280.0,4.0,14.0
Rondale Moore,ARI,62.0,40.0,352.0,1.0,17.0
Josh Reynolds,DET,64.0,40.0,608.0,5.0,17.0
Robert Woods,HOU,75.0,40.0,426.0,1.0,14.0
Tutu Atwell,LAR,67.0,39.0,483.0,3.0,16.0
Chuba Hubbard,CAR,44.0,39.0,233.0,0.0,17.0
Tanner Hudson,CIN,50.0,39.0,352.0,1.0,12.0
Trey Palmer,TAM,68.0,39.0,385.0,3.0,17.0
Khalil Shakir,BUF,45.0,39.0,611.0,2.0,17.0
D'Andre Swift,PHI,49.0,39.0,214.0,1.0,16.0
Michael Thomas,NOR,64.0,39.0,448.0,1.0,10.0
Dontayvion Wicks,GNB,58.0,39.0,581.0,4.0,15.0
Quentin Johnston,LAC,67.0,38.0,431.0,2.0,17.0
Josh Palmer,LAC,61.0,38.0,581.0,2.0,10.0
Rhamondre Stevenson,NWE,51.0,38.0,238.0,0.0,12.0
Michael Wilson,ARI,58.0,38.0,565.0,3.0,13.0
Kendrick Bourne,NWE,55.0,37.0,406.0,4.0,8.0
Josh Jacobs,LVR,54.0,37.0,296.0,0.0,13.0
Juwan Johnson,NOR,59.0,37.0,368.0,4.0,13.0
Brian Robinson Jr.,WAS,43.0,36.0,368.0,4.0,15.0
Nelson Agholor,BAL,45.0,35.0,381.0,4.0,17.0
Odell Beckham Jr.,BAL,64.0,35.0,565.0,3.0,14.0
