Player,Team,Tgt,Rec,Yds,TD,G
DJ Chark,CAR,66.0,35.0,525.0,5.0,15.0
Kalif Raymond,DET,44.0,35.0,489.0,1.0,17.0
Durham Smythe,MIA,43.0,35.0,366.0,0.0,16.0
Michael Gallup,DAL,57.0,34.0,418.0,2.0,17.0
Roschon Johnson,CHI,40.0,34.0,209.0,0.0,15.0
Zay Jones,JAX,64.0,34.0,321.0,2.0,9.0
Luke Musgrave,GNB,46.0,34.0,352.0,1.0,11.0
Allen Robinson,PIT,49.0,34.0,280.0,0.0,17.0
Noah Brown,HOU,55.0,33.0,567.0,2.0,10.0
Zach Charbonnet,SEA,40.0,33.0,209.0,0.0,16.0
Taysom Hill,NOR,40.0,33.0,291.0,2.0,16.0
DeVante Parker,NWE,55.0,33.0,394.0,0.0,13.0
Rashod Bateman,BAL,56.0,32.0,367.0,1.0,16.0
Noah Fant,SEA,43.0,32.0,414.0,0.0,17.0
Pat Freiermuth,PIT,47.0,32.0,308.0,2.0,12.0
Alec Pierce,IND,65.0,32.0,514.0,2.0,17.0
Kyren Williams,LAR,48.0,32.0,206.0,3.0,12.0
Tucker Kraft,GNB,40.0,31.0,355.0,2.0,17.0
Jaleel McLaughlin,DEN,36.0,31.0,160.0,2.0,17.0
Darnell Mooney,CHI,61.0,31.0,414.0,1.0,15.0
Kenneth Gainwell,PHI,37.0,30.0,183.0,0.0,16.0
Kylen Granson,IND,50.0,30.0,368.0,1.0,15.0
Aaron Jones,GNB,43.0,30.0,233.0,1.0,11.0
Isaiah Likely,BAL,40.0,30.0,411.0,5.0,17.0
Alexander Mattison,MIN,44.0,30.0,192.0,3.0,16.0
Devin Singletary,HOU,38.0,30.0,193.0,0.0,17.0
Mike Gesicki,NWE,45.0,29.0,244.0,2.0,17.0
Najee Harris,PIT,38.0,29.0,170.0,0.0,17.0
Brandon Powell,MIN,44.0,29.0,324.0,1.0,17.0
JuJu Smith-Schuster,NWE,47.0,29.0,260.0,1.0,11.0
Kenneth Walker III,SEA,37.0,29.0,259.0,1.0,15.0
Noah Gray,KAN,41.0,28.0,305.0,2.0,17.0
Derrick Henry,TEN,36.0,28.0,214.0,0.0,17.0
Justice Hill,BAL,39.0,28.0,206.0,1.0,16.0
Christian Watson,GNB,53.0,28.0,422.0,5.0,9.0
Nick Westbrook-Ikhine,TEN,45.0,28.0,370.0,3.0,14.0
De'Von Achane,MIA,37.0,27.0,197.0,3.0,11.0
Braxton Berrios,MIA,33.0,27.0,238.0,1.0,16.0
James Conner,ARI,33.0,27.0,165.0,2.0,13.0
Zach Ertz,ARI,43.0,27.0,187.0,1.0,7.0
Michael Mayer,LVR,40.0,27.0,304.0,2.0,14.0
Zack Moss,IND,37.0,27.0,192.0,2.0,14.0
Donald Parham,LAC,41.0,27.0,285.0,4.0,14.0
Miles Sanders,CAR,41.0,27.0,154.0,0.0,16.0
Kadarius Toney,KAN,38.0,27.0,169.0,1.0,13.0
Justin Watson,KAN,53.0,27.0,460.0,3.0,16.0
Demarcus Robinson,LAR,39.0,26.0,371.0,4.0,16.0
Daniel Bellinger,NYG,28.0,25.0,255.0,0.0,17.0
Austin Hooper,LVR,31.0,25.0,234.0,0.0,17.0
Trenton Irwin,CIN,32.0,25.0,316.0,1.0,16.0
Jerick McKinnon,KAN,32.0,25.0,192.0,4.0,12.0
Raheem Mostert,MIA,32.0,25.0,175.0,3.0,15.0
Colby Parkinson,SEA,34.0,25.0,247.0,2.0,17.0
Hunter Renfrow,LVR,37.0,25.0,255.0,0.0,17.0
Greg Dortch,ARI,41.0,24.0,280.0,2.0,16.0
Jameson Williams,DET,42.0,24.0,354.0,2.0,12.0
Michael Carter,2TM,31.0,24.0,101.0,1.0,15.0
Michael Carter,NYJ,20.0,15.0,68.0,0.0,9.0
Michael Carter,ARI,11.0,9.0,33.0,1.0,6.0
Connor Heyward,PIT,34.0,23.0,167.0,0.0,17.0
Jalin Hyatt,NYG,40.0,23.0,373.0,0.0,17.0
Allen Lazard,NYJ,49.0,23.0,311.0,1.0,14.0
Tommy Tremble,CAR,32.0,23.0,194.0,3.0,16.0
AJ Dillon,GNB,28.0,22.0,223.0,0.0,15.0
Dawson Knox,BUF,36.0,22.0,186.0,2.0,12.0
Marvin Mims,DEN,33.0,22.0,377.0,1.0,16.0
Chris Moore,TEN,35.0,22.0,424.0,0.0,17.0
Josh Oliver,MIN,28.0,22.0,213.0,2.0,17.0
Drew Sample,CIN,27.0,22.0,163.0,2.0,17.0
Jalen Tolbert,DAL,36.0,22.0,268.0,2.0,17.0
Adam Trautman,DEN,35.0,22.0,204.0,3.0,17.0
Cedrick Wilson Jr.,MIA,38.0,22.0,296.0,3.0,15.0
Ty Chandler,MIN,25.0,21.0,159.0,0.0,17.0
Emari Demercado,ARI,30.0,21.0,119.0,0.0,14.0
Xavier Gipson,NYJ,38.0,21.0,229.0,0.0,17.0
Isaiah Hodgins,NYG,33.0,21.0,230.0,3.0,17.0
Skyy Moore,KAN,38.0,21.0,244.0,1.0,14.0
Foster Moreau,NOR,25.0,21.0,193.0,1.0,15.0
Cedric Tillman,CLE,44.0,21.0,224.0,0.0,14.0
Marquez Valdes-Scantling,KAN,42.0,21.0,315.0,1.0,16.0
Parris Campbell,NYG,27.0,20.0,104.0,0.0,12.0
Khalil Herbert,CHI,31.0,20.0,134.0,1.0,12.0
Van Jefferson,2TM,43.0,20.0,209.0,0.0,17.0
Van Jefferson,LAR,15.0,8.0,108.0,0.0,5.0
Van Jefferson,ATL,28.0,12.0,101.0,0.0,12.0
Ameer Abdullah,LVR,24.0,19.0,131.0,0.0,17.0
John Bates,WAS,28.0,19.0,151.0,0.0,17.0
Jake Bobo,SEA,25.0,19.0,196.0,2.0,17.0
Jauan Jennings,SFO,33.0,19.0,265.0,1.0,13.0
Brandon Johnson,DEN,30.0,19.0,284.0,4.0,13.0
Terrace Marshall Jr.,CAR,33.0,19.0,139.0,0.0,9.0
Jonathan Taylor,IND,23.0,19.0,153.0,1.0,10.0
Tre Tucker,LVR,34.0,19.0,331.0,2.0,16.0
Mike Williams,LAC,26.0,19.0,249.0,1.0,3.0
Tyler Allgeier,ATL,23.0,18.0,193.0,1.0,17.0
Mack Hollins,ATL,30.0,18.0,251.0,0.0,13.0
Hayden Hurst,CAR,32.0,18.0,184.0,1.0,9.0
Will Mallory,IND,26.0,18.0,207.0,0.0,12.0
Irv Smith Jr.,CIN,26.0,18.0,115.0,1.0,12.0
Jamaal Williams,NOR,20.0,18.0,62.0,0.0,13.0
Calvin Austin III,PIT,30.0,17.0,180.0,1.0,17.0
Matt Breida,NYG,21.0,17.0,88.0,0.0,17.0
Will Dissly,SEA,22.0,17.0,172.0,1.0,16.0
Rico Dowdle,DAL,22.0,17.0,144.0,2.0,16.0
Clyde Edwards-Helaire,KAN,22.0,17.0,188.0,1.0,15.0
Brevin Jordan,HOU,21.0,17.0,219.0,2.0,14.0
Johnny Mundt,MIN,23.0,17.0,172.0,1.0,17.0
Latavius Murray,BUF,22.0,17.0,119.0,0.0,16.0
Tyler Scott,CHI,32.0,17.0,168.0,0.0,17.0
Deven Thompkins,TAM,25.0,17.0,83.0,1.0,17.0
Salvon Ahmed,MIA,23.0,16.0,88.0,1.0,8.0
Treylon Burks,TEN,30.0,16.0,221.0,0.0,11.0
Jamison Crowder,WAS,20.0,16.0,159.0,1.0,17.0
Alex Erickson,LAC,29.0,16.0,232.0,1.0,8.0
Bo Melton,GNB,24.0,16.0,218.0,1.0,5.0
John Metchie,HOU,30.0,16.0,158.0,0.0,16.0
David Montgomery,DET,24.0,16.0,117.0,0.0,14.0
Jeremy Ruckert,NYJ,22.0,16.0,151.0,0.0,15.0
Parker Washington,JAX,21.0,16.0,132.0,2.0,9.0
Jordan Akins,CLE,23.0,15.0,132.0,0.0,17.0
Dalvin Cook,NYJ,20.0,15.0,78.0,0.0,15.0
Derius Davis,LAC,17.0,15.0,66.0,0.0,17.0
Deonte Harty,BUF,21.0,15.0,150.0,1.0,16.0
Malik Heath,GNB,24.0,15.0,125.0,1.0,13.0
Kareem Hunt,CLE,21.0,15.0,84.0,0.0,15.0
Andrei Iosivas,CIN,25.0,15.0,116.0,4.0,16.0
Kyle Philips,TEN,22.0,15.0,181.0,0.0,9.0
Quez Watkins,PHI,21.0,15.0,142.0,1.0,9.0
Zamir White,LVR,19.0,15.0,98.0,0.0,17.0
Mecole Hardman,2TM,24.0,15.0,124.0,0.0,11.0
Mecole Hardman,NYJ,3.0,1.0,6.0,0.0,5.0
Mecole Hardman,KAN,21.0,14.0,118.0,0.0,6.0
Jamal Agnew,JAX,21.0,14.0,225.0,1.0,11.0
David Bell,CLE,23.0,14.0,167.0,3.0,15.0
Chase Brown,CIN,15.0,14.0,156.0,1.0,12.0
Chase Edmonds,TAM,17.0,14.0,81.0,0.0,13.0
Elijah Higgins,ARI,19.0,14.0,163.0,1.0,11.0
KhaDarel Hodge,ATL,23.0,14.0,232.0,0.0,17.0
Kyle Juszczyk,SFO,17.0,14.0,119.0,2.0,17.0
Byron Pringle,WAS,22.0,14.0,161.0,0.0,17.0
Jeff Wilson,MIA,17.0,14.0,85.0,0.0,10.0
Mo Alie-Cox,IND,22.0,13.0,161.0,3.0,17.0
Pharaoh Brown,NWE,15.0,13.0,208.0,1.0,17.0
Harrison Bryant,CLE,20.0,13.0,81.0,3.0,17.0
Luke Farrell,JAX,15.0,13.0,155.0,0.0,17.0
Lil'Jordan Humphrey,DEN,19.0,13.0,162.0,3.0,17.0
Alec Ingold,MIA,16.0,13.0,119.0,0.0,17.0
Dameon Pierce,HOU,17.0,13.0,101.0,0.0,14.0
Tyquan Thornton,NWE,23.0,13.0,91.0,0.0,9.0
Brock Wright,DET,14.0,13.0,91.0,1.0,14.0
Donovan Peoples-Jones,2TM,25.0,13.0,155.0,0.0,15.0
Donovan Peoples-Jones,CLE,18.0,8.0,97.0,0.0,7.0
Donovan Peoples-Jones,DET,7.0,5.0,58.0,0.0,8.0
Dyami Brown,WAS,23.0,12.0,168.0,1.0,17.0
Gus Edwards,BAL,13.0,12.0,180.0,0.0,17.0
Ray-Ray McCloud,SFO,15.0,12.0,135.0,0.0,12.0
A.T. Perry,NOR,18.0,12.0,246.0,4.0,10.0
Stephen Sullivan,CAR,24.0,12.0,125.0,0.0,11.0
KaVontae Turpin,DAL,18.0,12.0,127.0,3.0,16.0
Cam Akers,2TM,12.0,11.0,70.0,0.0,7.0
Cam Akers,LAR,0.0,0.0,0.0,0.0,1.0
Cam Akers,MIN,12.0,11.0,70.0,0.0,6.0
Andrew Beck,HOU,13.0,11.0,55.0,2.0,15.0
Lynn Bowden Jr.,NOR,16.0,11.0,83.0,0.0,15.0
D'Onta Foreman,CHI,16.0,11.0,77.0,1.0,9.0
Julio Jones,PHI,19.0,11.0,74.0,3.0,11.0
Tim Jones,JAX,18.0,11.0,83.0,0.0,17.0
Isaiah McKenzie,IND,14.0,11.0,82.0,0.0,13.0
Scott Miller,ATL,16.0,11.0,161.0,2.0,17.0
Trent Sherfield,BUF,22.0,11.0,86.0,1.0,17.0
Stone Smartt,LAC,21.0,11.0,155.0,1.0,16.0
Patrick Taylor,GNB,17.0,11.0,49.0,0.0,11.0
Robert Tonyan,CHI,17.0,11.0,112.0,0.0,17.0
Cole Turner,WAS,15.0,11.0,120.0,0.0,12.0
Davis Allen,LAR,11.0,10.0,95.0,1.0,15.0
Jalen Guyton,LAC,21.0,10.0,89.0,1.0,8.0
Darrell Henderson,LAR,14.0,10.0,103.0,0.0,4.0
Richie James,KAN,14.0,10.0,114.0,0.0,9.0
D'Ernest Johnson,JAX,12.0,10.0,140.0,0.0,17.0
Kendre Miller,NOR,11.0,10.0,117.0,0.0,8.0
Laviska Shenault Jr.,CAR,10.0,10.0,60.0,0.0,8.0
Sterling Shepard,NYG,22.0,10.0,57.0,1.0,15.0
Geoff Swaim,ARI,11.0,10.0,94.0,0.0,14.0
Olamide Zaccheaus,PHI,20.0,10.0,164.0,2.0,17.0
River Cracraft,MIA,12.0,9.0,121.0,1.0,10.0
Keaton Mitchell,BAL,11.0,9.0,93.0,0.0,8.0
Andrew Ogletree,IND,21.0,9.0,147.0,2.0,12.0
Cordarrelle Patterson,ATL,12.0,9.0,38.0,1.0,14.0
MyCole Pruitt,ATL,12.0,9.0,110.0,1.0,17.0
Josh Whyle,TEN,15.0,9.0,94.0,1.0,11.0
Mitchell Wilcox,CIN,12.0,9.0,56.0,0.0,17.0
Josiah Deguara,GNB,8.0,8.0,65.0,0.0,15.0
Xavier Hutchinson,HOU,19.0,8.0,90.0,0.0,16.0
Joshua Kelley,LAC,12.0,8.0,32.0,0.0,17.0
Lucas Krull,DEN,14.0,8.0,95.0,1.0,7.0
Luke Schoonmaker,DAL,15.0,8.0,65.0,2.0,17.0
Ben Skowronek,LAR,12.0,8.0,66.0,1.0,17.0
Ihmir Smith-Marsette,CAR,10.0,8.0,51.0,0.0,17.0
Samori Toure,GNB,18.0,8.0,78.0,0.0,11.0
C.J. Uzomah,NYJ,12.0,8.0,58.0,1.0,12.0
Chase Claypool,2TM,21.0,8.0,77.0,1.0,12.0
Chase Claypool,CHI,14.0,4.0,51.0,1.0,3.0
Chase Claypool,MIA,7.0,4.0,26.0,0.0,9.0
Israel Abanikanda,NYJ,11.0,7.0,43.0,0.0,6.0
Mike Boone,HOU,9.0,7.0,40.0,0.0,9.0
Darrynton Evans,2TM,12.0,7.0,49.0,0.0,7.0
Darrynton Evans,CHI,12.0,7.0,49.0,0.0,5.0
Darrynton Evans,MIA,0.0,0.0,0.0,0.0,2.0
C.J. Ham,MIN,9.0,7.0,25.0,0.0,17.0
Ty Johnson,BUF,7.0,7.0,62.0,1.0,10.0
Charlie Jones,CIN,9.0,7.0,64.0,0.0,11.0
Charlie Kolar,BAL,9.0,7.0,87.0,1.0,15.0
Jalen Reagor,NWE,23.0,7.0,138.0,0.0,11.0
Deuce Vaughn,DAL,7.0,7.0,40.0,0.0,7.0
Darnell Washington,PIT,10.0,7.0,61.0,0.0,17.0
Trayveon Williams,CIN,9.0,7.0,10.0,0.0,17.0
Tony Jones,2TM,10.0,7.0,37.0,0.0,7.0
Tony Jones,NOR,6.0,4.0,21.0,0.0,4.0
Tony Jones,ARI,4.0,3.0,16.0,0.0,3.0
Ronnie Bell,SFO,13.0,6.0,68.0,3.0,17.0
Raheem Blackshear,CAR,7.0,6.0,45.0,0.0,12.0
Jalen Brooks,DAL,6.0,6.0,64.0,0.0,7.0
DeeJay Dallas,SEA,9.0,6.0,26.0,0.0,17.0
Keelan Doss,LAC,13.0,6.0,33.0,0.0,5.0
Tyler Goodson,IND,9.0,6.0,34.0,0.0,6.0
Jimmy Graham,NOR,7.0,6.0,39.0,4.0,13.0
Eric Gray,NYG,7.0,6.0,22.0,0.0,13.0
Julian Hill,MIA,9.0,6.0,48.0,0.0,15.0
Elijah Mitchell,SFO,8.0,6.0,14.0,0.0,11.0
Justyn Ross,KAN,11.0,6.0,53.0,0.0,10.0
Isaiah Spiller,LAC,6.0,6.0,34.0,0.0,9.0
Blake Bell,KAN,9.0,5.0,26.0,1.0,17.0
Gary Brightwell,NYG,7.0,5.0,47.0,0.0,7.0
Jason Brownlee,NYJ,8.0,5.0,56.0,1.0,7.0
Randall Cobb,NYJ,17.0,5.0,39.0,1.0,11.0
Payne Durham,TAM,7.0,5.0,58.0,0.0,13.0
Brycen Hopkins,LAR,7.0,5.0,78.0,0.0,15.0
Deon Jackson,2TM,6.0,5.0,14.0,0.0,3.0
Deon Jackson,IND,6.0,5.0,14.0,0.0,2.0
Deon Jackson,NYG,0.0,0.0,0.0,0.0,1.0
Marvin Jones,DET,10.0,5.0,35.0,0.0,6.0
Keith Kirkwood,NOR,9.0,5.0,37.0,1.0,13.0
Ty Montgomery,NWE,12.0,5.0,40.0,0.0,13.0
David Moore,TAM,7.0,5.0,94.0,1.0,7.0
Craig Reynolds,DET,5.0,5.0,47.0,0.0,17.0
Patrick Ricard,BAL,7.0,5.0,52.0,1.0,17.0
Ronnie Rivers,LAR,5.0,5.0,22.0,0.0,9.0
Equanimeous St. Brown,CHI,6.0,5.0,62.0,0.0,7.0
Jack Stoll,PHI,8.0,5.0,38.0,0.0,17.0
Brenton Strange,JAX,9.0,5.0,35.0,1.0,14.0
Pierre Strong,CLE,8.0,5.0,47.0,0.0,17.0
Ian Thomas,CAR,9.0,5.0,56.0,0.0,12.0
Nate Adkins,DEN,5.0,4.0,22.0,0.0,10.0
Lawrence Cager,NYG,5.0,4.0,36.0,1.0,11.0
Grant Calcaterra,PHI,4.0,4.0,39.0,0.0,15.0
DeAndre Carter,LVR,7.0,4.0,39.0,0.0,17.0
Robbie Chosen,MIA,6.0,4.0,126.0,1.0,9.0
Nick Chubb,CLE,4.0,4.0,21.0,0.0,2.0
Britain Covey,PHI,6.0,4.0,42.0,0.0,16.0
Devin Duvernay,BAL,9.0,4.0,18.0,0.0,13.0
Marquise Goodwin,CLE,13.0,4.0,67.0,0.0,12.0
Peyton Hendershot,DAL,7.0,4.0,38.0,0.0,8.0
Keaontay Ingram,ARI,4.0,4.0,26.0,0.0,8.0
Rakim Jarrett,TAM,9.0,4.0,60.0,0.0,10.0
Velus Jones Jr.,CHI,7.0,4.0,20.0,0.0,14.0
Marcedes Lewis,CHI,5.0,4.0,29.0,1.0,17.0
Zach Pascal,ARI,15.0,4.0,19.0,0.0,14.0
Boston Scott,PHI,6.0,4.0,52.0,0.0,15.0
Ben Sims,GNB,6.0,4.0,21.0,1.0,17.0
Austin Trammell,LAR,7.0,4.0,29.0,0.0,16.0
Emanuel Wilson,GNB,5.0,4.0,23.0,0.0,7.0
Alex Armah,WAS,3.0,3.0,13.0,0.0,8.0
Nick Bawden,NYJ,3.0,3.0,21.0,0.0,16.0
Khari Blasingame,CHI,6.0,3.0,2.0,0.0,16.0
Miles Boykin,PIT,4.0,3.0,17.0,0.0,17.0
Michael Burton,DEN,3.0,3.0,8.0,0.0,17.0
Chris Conley,SFO,6.0,3.0,69.0,0.0,8.0
Elijah Cooks,JAX,4.0,3.0,38.0,0.0,9.0
Jashaun Corbin,NYG,3.0,3.0,12.0,0.0,6.0
Greg Dulcich,DEN,4.0,3.0,25.0,0.0,2.0
Melvin Gordon,BAL,3.0,3.0,46.0,0.0,4.0
Kevin Harris,NWE,3.0,3.0,58.0,0.0,4.0
Hunter Luepke,DAL,4.0,3.0,18.0,0.0,17.0
Jordan Mason,SFO,4.0,3.0,31.0,0.0,17.0
D.J. Montgomery,IND,8.0,3.0,56.0,1.0,7.0
Jalen Nailor,MIN,6.0,3.0,29.0,0.0,6.0
La'Mical Perine,KAN,5.0,3.0,33.0,0.0,3.0
Eric Saubert,HOU,3.0,3.0,12.0,0.0,9.0
Trey Sermon,IND,6.0,3.0,13.0,0.0,14.0
Steven Sims,HOU,3.0,3.0,25.0,0.0,3.0
Keith Smith,ATL,3.0,3.0,33.0,0.0,13.0
Charlie Woerner,SFO,3.0,3.0,32.0,0.0,17.0
Kayshon Boutte,NWE,7.0,2.0,19.0,0.0,5.0
J.K. Dobbins,BAL,3.0,2.0,15.0,0.0,1.0
Elijah Dotson,LAC,2.0,2.0,13.0,0.0,4.0
Kenyan Drake,2TM,3.0,2.0,31.0,0.0,3.0
Kenyan Drake,BAL,3.0,2.0,31.0,0.0,2.0
Kenyan Drake,GNB,0.0,0.0,0.0,0.0,1.0
Damien Harris,BUF,2.0,2.0,16.0,0.0,6.0
Trishton Jackson,MIN,4.0,2.0,9.0,0.0,7.0
Tyler Johnson,LAR,3.0,2.0,8.0,1.0,1.0
Chris Manhertz,DEN,4.0,2.0,16.0,0.0,16.0
Anthony McFarland Jr.,PIT,2.0,2.0,11.0,0.0,3.0
